DayCount,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
389,1172,1173.23,1101,1138.39,2889.08,3287311.67,1137.84
390,1136.15,1153.15,1077.38,1149,6106.13,6804011.98,1114.29
391,1149,1165.91,1136.3,1136.3,2931.83,3375799.6,1151.43
392,1136.3,1136.3,1063,1071.02,4777.54,5244038.54,1097.64
393,1068.16,1099,1056.32,1066.11,1621.76,1740468.1,1073.2
394,1071.64,1098.98,1062.9,1086.37,1716.24,1853029.44,1079.7
395,1086.02,1088.87,948.73,1004,14328.74,14445520.98,1008.15
396,1004,1008.99,944.36,969.4,3625.87,3506860.89,967.18
397,969.4,1011,969.4,1002.58,2515.31,2501288.76,994.43
398,1002.76,1008.48,973,990.96,2495.33,2473202.96,991.13
399,993.91,1046.9,980.01,1034.98,4384.53,4437921.56,1012.18
400,1034.97,1063.7,1006.56,1017.97,2806.69,2921147.74,1040.78
401,1012.88,1040.1,1010.61,1025.91,637.49,655521.57,1028.29
402,1025.41,1046.68,1010.01,1046.6,2136.16,2187708.72,1024.13
403,1046.6,1053,1035.07,1045.83,3023.53,3159520.49,1044.98
404,1045.96,1049.78,1025,1035.96,1700.73,1761915.03,1035.98
405,1036.23,1080,1034.92,1077,2406.67,2544129.12,1057.12
406,1072.94,1085.13,1067.51,1085.13,2191.39,2357212.79,1075.67
407,1085.31,1117.9,1075.66,1112.01,4339.35,4748201.97,1094.22
408,1112,1117.64,1085.01,1114.39,2188.09,2418505.84,1105.3
409,1114.39,1114.39,1089,1099.26,1259.17,1381726.08,1097.33
410,1099.1,1099.72,1041.74,1067.66,3340.21,3565382.19,1067.41
411,1067.66,1074.56,1001.7,1015,5885.63,6036928.58,1025.71
412,1015.39,1039.88,988,1037.56,4036.24,4076965.78,1010.09
413,1037.6,1042.27,1010.69,1017.98,1086.61,1119075.73,1029.87
